#Teff logg M_div_H F218W F255W F300W F336W F439W F450W F555W F606W F622W F675W F791W F814W F850LP
2500.0 -4.0 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 -3.0 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 -2.0 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 -1.5 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 -1.0 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 -0.5 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 0.0 -0.5 -11.401492 -12.321547 -8.406684 -8.399114 -8.350647 -8.093726 -7.008456 -6.058700 -6.088979 -4.559690 -1.932991 -1.632101 -0.342516
2500.0 0.5 -0.5 -10.870523 -11.626389 -7.567818 -7.277515 -7.002873 -7.038534 -6.680357 -5.838625 -6.008835 -4.161492 -1.381990 -1.094285  0.143393
2500.0 1.0 -0.5 -10.752479 -11.446894 -7.338544 -6.967946 -6.688063 -6.795082 -6.596797 -5.775857 -5.967600 -4.062545 -1.260877 -0.979513  0.240658
2500.0 1.5 -0.5 -10.642245 -11.305529 -7.178731 -6.763722 -6.466038 -6.588453 -6.360200 -5.563152 -5.745502 -3.880330 -1.114270 -0.849648  0.331504
2500.0 2.0 -0.5 -10.548307 -11.221370 -7.118308 -6.700787 -6.360099 -6.415649 -5.937767 -5.170221 -5.306865 -3.601765 -0.944714 -0.708321  0.409300
2500.0 2.5 -0.5 -10.529534 -11.239864 -7.176450 -6.795872 -6.420997 -6.411981 -5.708537 -4.950268 -5.045978 -3.455439 -0.872654 -0.652135  0.426581
2500.0 3.0 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 3.5 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 4.0 -0.5 -10.634480 -11.534561 -7.580396 -7.471940 -7.454740 -7.221123 -5.731707 -4.820724 -4.793714 -3.405729 -0.903898 -0.678720  0.363490
2500.0 4.5 -0.5 -10.584064 -11.513551 -7.593386 -7.583973 -7.800325 -7.497422 -5.825903 -4.903355 -4.878238 -3.421175 -0.846262 -0.614021  0.423103
2500.0 5.0 -0.5 -10.404966 -11.352586 -7.476675 -7.582784 -8.091631 -7.656500 -5.792574 -4.850601 -4.821205 -3.293525 -0.656549 -0.422514  0.605227
2500.0 5.5 -0.5 -10.107999 -11.056257 -7.193855 -7.289736 -7.784320 -7.268608 -5.399680 -4.435499 -4.394511 -2.857323 -0.311853 -0.109047  0.879498
2500.0 6.0 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 6.5 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 7.0 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 7.5 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 8.0 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 8.5 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 9.0 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2500.0 9.5 -0.5 -10.540109 -11.304166 -7.284384 -6.972616 -6.583471 -6.511023 -5.604809 -4.847071 -4.911033 -3.389931 -0.845929 -0.632641  0.423453
2800.0 -4.0 -0.5 -11.213060 -12.125496 -8.167040 -8.082971 -7.834898 -7.447437 -6.134075 -5.233729 -5.173018 -3.946835 -1.562659 -1.332309 -0.208706
2800.0 -3.0 -0.5 -11.213060 -12.125496 -8.167040 -8.082971 -7.834898 -7.447437 -6.134075 -5.233729 -5.173018 -3.946835 -1.562659 -1.332309 -0.208706
2800.0 -2.0 -0.5 -11.213060 -12.125496 -8.167040 -8.082971 -7.834898 -7.447437 -6.134075 -5.233729 -5.173018 -3.946835 -1.562659 -1.332309 -0.208706
2800.0 -1.5 -0.5 -11.213060 -12.125496 -8.167040 -8.082971 -7.834898 -7.447437 -6.134075 -5.233729 -5.173018 -3.946835 -1.562659 -1.332309 -0.208706
2800.0 -1.0 -0.5 -11.213060 -12.125496 -8.167040 -8.082971 -7.834898 -7.447437 -6.134075 -5.233729 -5.173018 -3.946835 -1.562659 -1.332309 -0.208706
2800.0 -0.5 -0.5 -11.022837 -11.888727 -7.902531 -7.740344 -7.328079 -7.009383 -5.808996 -4.953911 -4.899443 -3.689801 -1.342039 -1.125862 -0.042235
2800.0 0.0 -0.5 -11.022837 -11.888727 -7.902531 -7.740344 -7.328079 -7.009383 -5.808996 -4.953911 -4.899443 -3.689801 -1.342039 -1.125862 -0.042235
2800.0 0.5 -0.5 -10.658696 -11.398869 -7.354653 -7.038077 -6.376265 -6.200447 -5.266476 -4.511210 -4.494203 -3.264383 -0.939366 -0.748774  0.264318
2800.0 1.0 -0.5 -10.501324 -11.168538 -7.091505 -6.699820 -5.978817 -5.868359 -5.051453 -4.339624 -4.343315 -3.097348 -0.774746 -0.594721  0.389604
2800.0 1.5 -0.5 -10.369692 -10.968556 -6.859873 -6.401759 -5.661576 -5.609978 -4.886191 -4.212567 -4.235333 -2.969989 -0.641571 -0.469945  0.491229
2800.0 2.0 -0.5 -10.296202 -10.846718 -6.757534 -6.260055 -5.510270 -5.445161 -4.677847 -4.007249 -4.025598 -2.789548 -0.564274 -0.398446  0.532843
2800.0 2.5 -0.5 -10.132287 -10.646982 -6.552505 -6.014200 -5.208619 -5.098865 -4.146605 -3.511285 -3.466238 -2.432975 -0.335554 -0.199319  0.663132
2800.0 3.0 -0.5 -10.100378 -10.614182 -6.554226 -6.014016 -5.179754 -5.009887 -3.895913 -3.259933 -3.176885 -2.247861 -0.265766 -0.142214  0.681639
2800.0 3.5 -0.5 -10.108301 -10.661617 -6.625200 -6.109128 -5.264279 -5.064494 -3.832207 -3.194495 -3.091329 -2.200275 -0.246237 -0.127333  0.680219
2800.0 4.0 -0.5 -10.124946 -10.753792 -6.729993 -6.258485 -5.426787 -5.200033 -3.832102 -3.168482 -3.049345 -2.175917 -0.234670 -0.117062  0.678893
2800.0 4.5 -0.5 -10.146267 -10.851334 -6.840938 -6.432372 -5.620821 -5.367323 -3.870244 -3.193827 -3.054835 -2.191713 -0.232768 -0.115813  0.673708
2800.0 5.0 -0.5 -10.133719 -10.937376 -6.947480 -6.650187 -5.952284 -5.665353 -4.029497 -3.316405 -3.164064 -2.248909 -0.200428 -0.079235  0.714244
2800.0 5.5 -0.5 -10.040962 -10.906674 -6.932822 -6.701696 -6.146150 -5.774974 -4.039427 -3.259142 -3.091061 -2.127656 -0.091663  0.028291  0.819840
2800.0 6.0 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 6.5 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 7.0 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 7.5 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 8.0 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 8.5 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 9.0 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
2800.0 9.5 -0.5 -10.133121 -10.763101 -6.747561 -6.287038 -5.445011 -5.210236 -3.831861 -3.177568 -3.050081 -2.187249 -0.241717 -0.124451  0.672490
3000.0 -4.0 -0.5 -10.887728 -11.778102 -7.794484 -7.633802 -7.125534 -6.603467 -5.266500 -4.458926 -4.400002 -3.285567 -1.090723 -0.917734  0.050227
3000.0 -3.0 -0.5 -10.887728 -11.778102 -7.794484 -7.633802 -7.125534 -6.603467 -5.266500 -4.458926 -4.400002 -3.285567 -1.090723 -0.917734  0.050227
3000.0 -2.0 -0.5 -10.887728 -11.778102 -7.794484 -7.633802 -7.125534 -6.603467 -5.266500 -4.458926 -4.400002 -3.285567 -1.090723 -0.917734  0.050227
3000.0 -1.5 -0.5 -10.887728 -11.778102 -7.794484 -7.633802 -7.125534 -6.603467 -5.266500 -4.458926 -4.400002 -3.285567 -1.090723 -0.917734  0.050227
3000.0 -1.0 -0.5 -10.887728 -11.778102 -7.794484 -7.633802 -7.125534 -6.603467 -5.266500 -4.458926 -4.400002 -3.285567 -1.090723 -0.917734  0.050227
3000.0 -0.5 -0.5 -10.792354 -11.636952 -7.639397 -7.416849 -6.757431 -6.322065 -5.075448 -4.295688 -4.239442 -3.147308 -0.987727 -0.821666  0.125416
3000.0 0.0 -0.5 -10.672782 -11.457293 -7.444179 -7.153941 -6.355627 -6.001875 -4.841713 -4.095845 -4.041627 -2.977597 -0.860796 -0.703395  0.218195
3000.0 0.5 -0.5 -10.535855 -11.246550 -7.216428 -6.855164 -5.945840 -5.661409 -4.573403 -3.863800 -3.808875 -2.781953 -0.718035 -0.570673  0.321492
